RA,Dec,NAME,Diameter,Type,LongType,Redshift,Comoving Radial Distance (Gly),Light Travel Time (Gyr)
50.099743,41.358738,QSO   SDSS J032023.93+412131.5   20.504 Gly Distance   11.386 Gyr Light Travel Time,0,QSO,Quasar,2.8089,20.50449664,11.38591542
49.263524,41.258019,QSO   SDSS J031703.24+411528.8   19.684 Gly Distance   11.164 Gyr Light Travel Time,0,QSO,Quasar,2.5817,19.68419984,11.16378935
50.285211,41.539132,QSO   2MASS J03210844+4132208   19.243 Gly Distance   11.039 Gyr Light Travel Time,0,QSO,Quasar,2.4674,19.24291145,11.0385743
49.726412,41.02834,QSO   SDSS J031854.33+410142.0   18.457 Gly Distance   10.805 Gyr Light Travel Time,0,QSO,Quasar,2.2763,18.45719689,10.80543136
49.505128,41.977918,QSO   SDSS J031801.22+415840.5   12.995 Gly Distance   8.787 Gyr Light Travel Time,0,QSO,Quasar,1.275,12.99536699,8.786616797
49.233962,41.908176,QSO   SDSS J031656.14+415429.4   9.638 Gly Distance   7.145 Gyr Light Travel Time,0,QSO,Quasar,0.8476,9.638340289,7.145492523
49.823333,41.499444,GiC   [CGW2003] J031917.6+4129   6.893 Gly Distance   5.528 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.56259,6.892768109,5.527960872
49.7325,41.394722,GiC   [CGW2003] J031855.8+4123   4.139 Gly Distance   3.607 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.317285,4.139109303,3.607422623
49.862083,41.551389,GiC   [CGW2003] J031926.9+4133   3.599 Gly Distance   3.19 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.272868,3.599036723,3.190385821
49.81625,41.505556,GiC   [CGW2003] J031915.9+4130   3.564 Gly Distance   3.163 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.269994,3.563645758,3.162553765
49.98375,41.485833,GiC   [CGW2003] J031956.1+4129   3.498 Gly Distance   3.111 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.264684,3.498114857,3.110852664
49.789583,41.525278,GiC   [CGW2003] J031909.5+4131   3.41 Gly Distance   3.041 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.257563,3.409943875,3.040946518
49.812917,41.4825,GiC   [CGW2003] J031915.1+4128   3.26 Gly Distance   2.921 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.245508,3.259922439,2.921090153
49.99375,41.517222,GiC   [CGW2003] J031958.5+4131   3.244 Gly Distance   2.909 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.244267,3.24442437,2.908642344
49.900417,41.546389,GiC   [CGW2003] J031936.1+4132   2.536 Gly Distance   2.326 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.188344,2.535561894,2.32574873
49.787917,41.545,GiC   [CGW2003] J031909.1+4132   2.31 Gly Distance   2.135 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.170882,2.310030884,2.134576527
49.98375,41.544167,GiC   [CGW2003] J031956.1+4132   2.005 Gly Distance   1.872 Gyr Light Travel Time,0,GiC,Galaxy in Cluster of Galaxies,0.14752,2.005197507,1.871627045
49.153,41.595568,G   LEDA 2183589   1.992 Gly Distance   1.86 Gyr Light Travel Time,0.29,G,Galaxy,0.14651,1.991938987,1.860069346
